"ID","Course","LongTitle","Dept","UGrad"
"000018","MUSIC 18A","Harvard Jazz Band","Music",11
"000025","MUSIC 25","Music Festivals","Music",17
"000143","LING 143","Morphosemantics","Linguistics",0
"000168","MUSIC 168","Analog Synth & Digital Age","Music",6
"000172","MUSIC 172R","Performer-Comp Collaborative","Music",5
"000301","MUSIC 301R","Reading and Resarch","Music",0
"000396","BPH 396","Evol Genomics of Malaria","Bio Sciences in Public Health",0
"107341","GENED 1076","Equity in American Education","General Education",154
"107367","PHYSCI 10","Quant, Stat, & Comp Chemistry","Chemistry & Chemical Biology",22
"107375","HIND-URD 91R","Hindi-Urdu Supervised Readings","South Asian Studies",2
"107378","SAS 100R","South Asian Language Tutorials","South Asian Studies",1
"107388","ECON 1936","Keynes","Economics",7
"107394","RELIGION 1537","Justice, Human Rights, and Rel","Religion, The Study of",0
"107418","HBTM 302QC","Img & Micro Meth in Bio & Med","Medical Sciences",0
"107425","ECON 1450","Political Economy of Religion","Economics",18
"107464","GENED 1011","Contemporary Develop Countries","General Education",61
"107469","LING 221R","Workshop in Indo-European","Linguistics",0
"107608","ECON 3013","Contracts and Orgs Grad Worksh","Economics",0
"107613","ECON 1415","Analytic Frameworks for Policy","Economics",1
"107630","GENETIC 397","Immunogenomics","Medical Sciences",0
"107631","HBTM 348","Molecular Pathogenesis","Medical Sciences",0
"107669","GENED 1033","Conflict Resolution in a Divid","General Education",57
"107677","COMPSCI 281","Adv. Machine Learning","Computer Science",71
"107703","CHEM 320","Chemical Biology","Chemistry & Chemical Biology",0
"107706","PSY 2410R","Lab Research Emotional Disorde","Psychology",4
"107734","ENG-SCI 350","Materials Science","Engineering Sciences",0
"107755","NEUROBIO 230","Visual Recognition","Medical Sciences",3
"107761","GENETIC 395","Regulation of global genes","Medical Sciences",0
"107770","GOV 3005A","Workshop: Intl Relations","Government",0
"107821","GENED 1120","Politic. Econ of Globalization","General Education",122
"107827","ECON 910R","Supervised Reading and Researc","Economics",7
"107868","CELLBIO 390","Membrane: Cytoskeleton Interfc","Medical Sciences",0
"107877","NEUROBIO 306QC","Quantitative Methods for Biol","Medical Sciences",0
"107885","GENETIC 394","Transcriptional Networks","Medical Sciences",0
"107886","GENETIC 347","Ras signaling and colon cancer","Medical Sciences",0
"107892","THI 101A","Introductory Thai I","South Asian Studies",1
"107908","BPH 382","Aging, Stress Resistance & Die","Bio Sciences in Public Health",0
"107995","ENG-SCI 298R","Solving Tech’s Public Dilemmas","Engineering Sciences",7
"107996","HAA 91R","Directed Study in HAA","History of Art & Architecture",3
"108000","E-PSCI 146","Ocean Ridges & Earth System","Earth & Planetary Sciences",4
"108111","GENETIC 396","Genome Editing and Epigenome","Medical Sciences",0
"108137","SOCIOL 3310","Qualifying Paper","Sociology",0
"108212","SHBT 200","Speech and Hearing","Medical Sciences",0
"108213","SHBT 201","Biology of the Inner Ear","Medical Sciences",0
"108229","CHNSLIT 140","The Greatest Chinese Novel","East Asian Langs & Civ",3
"108354","BCMP 387","Single-molecule Biophysics","Medical Sciences",0
"108356","NEUROBIO 307","Architecture and plasticity","Medical Sciences",0
"108397","CHNSE 166R","Chinese in the Humanities","East Asian Langs & Civ",3
"108398","GENED 1020","Security","General Education",243
"108405","GENED 1116","Medical Ethics and History","General Education",84
"108419","MUSIC 181R","Performance and Culture","Music",5
"108442","HIST 2259","Readings in Central European","History",0
"108465","PHYSICS 143A","Quantum Mechanics I","Physics",32
"108472","EAFM 202","Rip &Tear: Body in Jpn Film","East Asian Langs & Civ",1
"108490","PSY 1702","The Emotional Mind","Psychology",71
"108491","PSY 2160R","Affective and Dev. Neurosci. L","Psychology",0
"108562","FRSEMR 43J","The Economist's View of the Wo","Freshman Seminars",12
"108588","CLASSIC 360","Teaching Colloquium","Classics, The",0
"108619","WOMGEN 1127","WGS in the Daily News","Women, Gender & Sexuality",27
"108639","GOV 92R","Faculty Research Assistant","Government",19
