"ID","Course","LongTitle","Dept","UGrad"
"000177","MUSIC 177","Creative Music: Adv. Ensemble","Music",8
"000187","MUSIC 187R","Opera Workshop","Music",6
"000196","AFRAMER 196Y","African Literature and the Poe","African & African Amer Studies",4
"000243","MUSIC 243R","Music and Performance Studies","Music",0
"000245","MUSIC 245","Voice","Music",0
"000281","MUSIC 281RX","Black Speculative Musicalities","Music",5
"000284","MUSIC 284R","Sounding Identity","Music",4
"000301","MUSIC 301R","Reading and Resarch","Music",0
"000306","AFRAMER 299","Africa Rising? New African Eco","African & African Amer Studies",0
"000396","BPH 396","Evol Genomics of Malaria","Bio Sciences in Public Health",0
"003000","BIOPHYS 3000","Graduate Research Course","Biophysics",0
"009999","MUSIC 9999","Independent Study - Music Less","Music",1
"107349","MODMDEST 100","Intro Modern Middle East","Near Eastern Languages & Civ",26
"107368","PHYSCI 11","Frontiers of Modern Chemistry","Chemistry & Chemical Biology",351
"107371","ANTHRO 2695","Design Anthropology","Anthropology",1
"107375","HIND-URD 91R","Hindi-Urdu Supervised Readings","South Asian Studies",2
"107378","SAS 100R","South Asian Language Tutorials","South Asian Studies",1
"107380","SAS 98R","Tutorial - Junior Year","South Asian Studies",1
"107602","PSY 1503","Psych of Close Relationships","Psychology",146
"107608","ECON 3013","Contracts and Orgs Grad Worksh","Economics",0
"107619","HISTSCI 185","Communicating Science","History of Science",17
"107622","BCMP 390","Gene Regulation","Medical Sciences",0
"107630","GENETIC 397","Immunogenomics","Medical Sciences",0
"107631","HBTM 348","Molecular Pathogenesis","Medical Sciences",0
"107672","PERSIAN 152","Persian Epic Tradition","Near Eastern Languages & Civ",3
"107675","ECON 980W","Policy Options in Health","Economics",6
"107703","CHEM 320","Chemical Biology","Chemistry & Chemical Biology",0
"107706","PSY 2410R","Lab Research Emotional Disorde","Psychology",3
"107709","CHEM 255","Practical Crystallography","Chemistry & Chemical Biology",0
"107734","ENG-SCI 350","Materials Science","Engineering Sciences",0
"107761","GENETIC 395","Regulation of global genes","Medical Sciences",0
"107767","E-PSCI 262","Theoretical Seismology","Earth & Planetary Sciences",0
"107809","LING 215","Phonological Theory II","Linguistics",2
"107811","ECON 1310","The Economy of China","Economics",16
"107827","ECON 910R","Supervised Reading and Researc","Economics",8
"107839","FRSEMR 38X","Work: an A/V Exploration","Freshman Seminars",6
"107843","HBTM 200","Pathology of Human Disease","Medical Sciences",0
"107859","RELIGION 40","Incarnation and Desire","Religion, The Study of",10
"107868","CELLBIO 390","Membrane: Cytoskeleton Interfc","Medical Sciences",0
"107886","GENETIC 347","Ras signaling and colon cancer","Medical Sciences",0
"107893","THI 101B","Introductory Thai II","South Asian Studies",1
"107899","PHYSICS 302A","Teaching & Communicating Physi","Physics",0
"107908","BPH 382","Aging, Stress Resistance & Die","Bio Sciences in Public Health",0
"107973","HIST 1155","Early Modern Europe, 1450-1789","History",23
"107996","HAA 91R","Directed Study in HAA","History of Art & Architecture",2
"108001","MUSIC 220R","History of Music Theory","Music",1
"108091","HIST-LIT 90AT","The Postwar Am Road Narrative","History & Literature",14
"108094","GREEK 110","Plato","Classics, The",5
"108111","GENETIC 396","Genome Editing and Epigenome","Medical Sciences",0
"108217","SHBT 202","Clinical Aspects of Speech and","Medical Sciences",0
"108218","SHBT 203","Anatomy of Speech and Hearing","Medical Sciences",0
"108224","SHBT 205","Neural Coding of Sound","Medical Sciences",0
"108285","GOV 63","Topics and Resources in Pol","Government",6
"108287","GOV 62","Research Practice in Qual","Government",32
"108339","CELLBIO 201","Principles of Cell Biology","Medical Sciences",0
"108354","BCMP 387","Single-molecule Biophysics","Medical Sciences",0
"108355","NEUROBIO 348","Neural stem cells","Medical Sciences",0
"108356","NEUROBIO 307","Architecture and plasticity","Medical Sciences",0
"108389","FRSEMR 21G","First Stars and Life in the Co","Freshman Seminars",11
"108397","CHNSE 166R","Chinese in the Humanities","East Asian Langs & Civ",10
"108465","PHYSICS 143A","Quantum Mechanics I","Physics",36
"108471","EAFM 201","Media Mix: Representations","East Asian Langs & Civ",1
"108491","PSY 2160R","Affective and Dev. Neurosci. L","Psychology",0
"108531","HIST 1913","Dirty Wars, Peace Processes, a","History",15
"108533","HIST 1513","History of Modern Latin Americ","History",36
"108564","FRSEMR 22T","Why We Animals Sing","Freshman Seminars",10
"108588","CLASSIC 360","Teaching Colloquium","Classics, The",0
"108639","GOV 92R","Faculty Research Assistant","Government",29
"108678","AFRAMER 190X","The Anthropology of Law","African & African Amer Studies",9
"108693","CLASARCH 11","Roman Art","Classics, The",6
"108694","AFRAMER 209B","Africa Rising? New African Eco","African & African Amer Studies",19
"108716","FRENCH 136","French Feminisms Today","Romance Languages & Lit",7
"108761","SOC-STD 98NQ","Global East Asia","Social Studies",8
"108844","AFVS 83","The Devil, Probably x 8 + 1","Art, Film, and Visual Studies",12
"108851","STAT 366","Introduction to Research","Statistics",0
"108854","GENED 1101","The Business of China","General Education",42
"108871","ENG-SCI 183","Introduction to Heat Transfer","Engineering Sciences",13
"108879","AFRAMER 119X","Chocolate, Culture, and Politi","African & African Amer Studies",173
"108882","APPHY 50B","Phys Fndtn for Sci & Engr Prt","Applied Physics",75
"108901","ECON 1010A","Intermediate Microeconomics","Economics",82
"108928","HISTSCI 142VJ","History of Obesity Epidemic","History of Science",25
"108949","ANTHRO 3628","Anthropological Research","Anthropology",0
"108970","ARABIC 242BR","Mod Arabic Poetry","Near Eastern Languages & Civ",2
"108982","MUSIC 175R","Special Topics","Music",18
"109007","SHBT 301","Acoustics & Mech of Middle Ear","Medical Sciences",0
"109014","SHBT 333R","Lab Rotation in SHBT","Medical Sciences",0
"109018","SHBT 305","Degeneration and regeneration","Medical Sciences",0
"109021","COMPLIT 91R","Supervised Reading and Researc","Comparative Literature",1
"109030","GENED 1117","Nature","General Education",30
"109087","CELLBIO 387","Calcium signaling in health","Medical Sciences",0
"109091","HBTM 351","Bio and Immunotherapy of Chron","Medical Sciences",0
"109095","NEUROBIO 320L","Neural Circuits Underlying Cog","Medical Sciences",0
"109099","NEUROBIO 322L","Molecular Mechanisms","Medical Sciences",0
"109111","CHEM 342","Inorganic Chemistry","Chemistry & Chemical Biology",0
"109121","DRB 325","Tissue-Specific Stem Cells","Medical Sciences",0
"109123","HBTM 353","Mechanobiology and Dev Control","Medical Sciences",0
"109125","HBTM 355","Epigenetic Mechanisms","Medical Sciences",0
"109129","HBTM 361","Molecular Approaches to Cell","Medical Sciences",0
"109133","HBTM 365","Bio and Genetics of Human","Medical Sciences",0
"109148","CELLBIO 319","Signaling Pathways in Cancer","Medical Sciences",0
"109231","E-PSCI 52","Geophysics-Earth & Planets","Earth & Planetary Sciences",2
"109233","SANSKRIT 250R","Nth Year Sanskrit: Seminar","South Asian Studies",0
"109254","NEUROBIO 329L","Genetic & Neural Basis of Slee","Medical Sciences",0
"109256","NEUROBIO 331L","Cortical Nets","Medical Sciences",0
"109257","NEUROBIO 332L","Bio & Comput Underpin Visual P","Medical Sciences",0
"109263","HISTSCI 99B","Tutorial - Senior Year","History of Science",21
"109266","BPH 384","Targets for Control of Malaria","Bio Sciences in Public Health",0
"109267","BPH 385","The Molecular Genetics of Agin","Bio Sciences in Public Health",0
"109271","GERMAN 90R","Dutch","Germanic Languages & Lit",1
"109272","ENG-SCI 95R","Startup R & D","Engineering Sciences",26
"109274","PHYSCI 12A","Mechanics and Stat Phys","Physics",86
"109278","COMPSCI 306","High-Perform Software Systems","Computer Science",0
"109287","PHYSICS 395A","Theoreticl High Enrgy/String T","Physics",0
"109294","PHIL 303","Colloquium","Philosophy",0
"109330","NEUROBIO 327R","Lab Rotations in Neurosciences","Medical Sciences",0
"109346","PHYSICS 223","Electronics for Scientists","Physics",1
"109356","ENG-SCI 177","Microfabrication Laboratory","Engineering Sciences",1
"109357","ENG-SCI 277","Microfabrication Laboratory","Engineering Sciences",0
"109360","GENED 1064","Brains, Identity, & Moral Agcy","General Education",70
"109369","NEUROBIO 334L","Cellular & Molec Mechanisms","Medical Sciences",0
"109372","LING 91R","Supervised Reading and Researc","Linguistics",1
"109374","ENG-SCI 22","Designing for Desirability","Engineering Sciences",21
"109375","HAA 96A","Arch Studio I Transformations","History of Art & Architecture",10
"109380","MICROBI 302QC","Infectious Disease Research","Medical Sciences",0
"109412","APPHY 346","Interdisciplinary Dissertation","Applied Physics",0
"109421","MED-SCI 303","Cancer Genomics","Medical Sciences",0
"109437","HIST 1925","Europe and its Other(s)","History",1
"109447","PHIL 144","Logic and Philosophy","Philosophy",18
"109477","ENG-SCI 91R","Supervised Reading and Researc","Engineering Sciences",25
"109486","GERMAN 185","Heinrich von Kleist","Germanic Languages & Lit",0
"109545","TDM 151","Scenography Studio","Theater, Dance & Media",2
"109547","PERSIAN 130BR","Persian Lit & Hist Texts","Near Eastern Languages & Civ",1
"109565","CLS-STDY 222","Regional Study: Macedonia","Classics, The",0
"109566","COMPSCI 127","Cryptography","Computer Science",8
